Symbol, Name, lastsale, netchange,pctchange, share_volume, Nasdaq100_points,
SIRI, Sirius XM Holdings Inc., 3.535, -0.015,-0.42, 31890793, -.1,
SPLS, Staples Inc., 11.51, 0.02,0.17, 4447450, .0,
SBUX, Starbucks Corporation, 77.571, 0.661,0.86, 2313048, .5,
SRCL, Stericycle Inc., 118.71, 0.09,0.08, 157816, .0,
SYMC, Symantec Corporation, 24.36, 0.12,0.5, 2575030, .1,
TSLA, Tesla Motors Inc., 260.41, -1.6,-0.61, 5031361, -.2,
TXN, Texas Instruments Incorporated, 47.455, -0.105,-0.22, 2653123, -.1,
PCLN, The Priceline Group Inc., 1275.51, 5.39,0.42, 471458, .3,
TSCO, Tractor Supply Company, 61.87, 0.57,0.93, 446118, .1,
TRIP, TripAdvisor Inc., 97.84, 0.74,0.76, 505560, .1,
FOXA, Twenty-First Century Fox Inc., 35.93, 0.07,0.2, 7458849, .1,
VRSK, Verisk Analytics Inc., 63.625, 0.935,1.49, 649873, .1,
VRTX, Vertex Pharmaceuticals Incorporated, 90.73, -0.15,-0.17, 667744, .0,
VIAB, Viacom Inc., 82.1, 0.62,0.76, 1099431, .2,
VIP, VimpelCom Ltd., 8.579, 0.039,0.46, 842713, .1,
VOD, Vodafone Group Plc, 33.385, 0.245,0.74, 2358049, .1,
WDC, Western Digital Corporation, 100.8, 0.18,0.18, 767337, .0,
WFM, Whole Foods Market Inc., 38.72, 0.19,0.49, 2523110, .1,
WYNN, Wynn Resorts Limited, 203.28, 1.95,0.97, 642972, .2,
XLNX, Xilinx Inc., 41.85, -0.28,-0.66, 1355577, -.1,
YHOO, Yahoo! Inc., 37.47, 1,2.74, 17330584, .9,
